"","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","old_new","conf_resp.keys","conf_resp.rt","response","key_resp_2.keys","participant","recog_acc","in_out_resp","in_out_corr_resp","in_out_rt","fixation_prediction","fixation_error","trial_n","age","gender","handedness","location_error","age_group"
"47","3.06418063255711","106.588235294118","196.588235294118","16.5882352941177","medium","175.653666834484","maps/google_map_1.png","69.0654315403662","objects/1/1_1.jpg","0.0","indoors","Bottle_Oil.jpg","old",6,2.057368603535,115,"['return']",54,1,"indoors",1,0.209964527748525,NA,NA,53,9,"m","r",60.653666834484,"CH"
"49","5.33880965271019","106.588235294118","196.588235294118","16.5882352941177","high","306.046413212686","maps/google_map_1.png","160.541822081432","objects/1/1_30.jpg","0.0","outdoors","Dolphine.jpg","old",6,2.49652461707592,205,"['return']",54,1,"outdoors",1,0.425922168651596,NA,NA,33,9,"m","r",101.046413212686,"CH"
"51","2.0116693458082","106.588235294118","196.588235294118","16.5882352941177","low","115.318624918941","maps/google_map_1.png","8.73038962482367","objects/1/1_105.jpg","0.0","outdoors","Hippopotamus.jpg","old",6,1.62107251235284,129,"['return']",54,1,"outdoors",1,0.315194397466257,NA,NA,93,9,"m","r",13.681375081059,"CH"
"53","3.54391729698036","106.588235294118","196.588235294118","16.5882352941177","medium","203.154494731358","maps/google_map_1.png","96.5662594372406","objects/1/1_117.jpg","0.0","outdoors","Kangaroo.jpg","old",6,1.64840742852539,333.5,"['return']",54,1,"outdoors",1,0.453105060383677,NA,NA,42,9,"m","r",130.345505268642,"CH"
"55","2.14170111747001","106.588235294118","196.588235294118","16.5882352941177","low","122.772675523759","maps/google_map_1.png","16.1844402296411","objects/1/1_106.jpg","0.0","indoors","Cheque.jpg","old",6,2.89228659542277,331,"['return']",54,1,"indoors",1,1.14817808498628,NA,NA,47,9,"m","r",151.772675523759,"CH"
"57","2.26011844837986","106.588235294118","196.588235294118","16.5882352941177","low","129.560930161903","maps/google_map_1.png","22.972694867785","objects/1/1_81.jpg","0.0","outdoors","BicycleSeat.jpg","old",4,3.6408690623939,106,"['return']",54,1,"outdoors",1,0.457557391840965,NA,NA,2,9,"m","r",23.560930161903,"CH"
"59","5.09250782402451","106.588235294118","196.588235294118","16.5882352941177","high","291.927200103316","maps/google_map_1.png","174.661035190802","objects/1/1_8.jpg","0.0","outdoors","Snake_Cobra.jpg","old",6,2.85067965066992,60.5,"['return']",54,1,"outdoors",1,0.422245034249499,NA,NA,82,9,"m","r",128.572799896684,"CH"
"61","2.03351288877089","106.588235294118","196.588235294118","16.5882352941177","low","116.570802541006","maps/google_map_1.png","9.98256724688873","objects/1/1_135.jpg","0.0","outdoors","Sphinx.jpg","old",6,2.25492357392795,292.5,"['return']",54,1,"outdoors",1,0.14427836611867,NA,NA,19,9,"m","r",175.929197458994,"CH"
"67","4.88747397597166","106.588235294118","196.588235294118","16.5882352941177","high","280.173667412388","maps/google_map_1.png","173.585432118271","objects/1/1_78.jpg","0.0","outdoors","Boat_Row.jpg","old",6,2.10770220775157,250,"['return']",54,1,"outdoors",1,2.16216210066341,NA,NA,88,9,"m","r",30.173667412388,"CH"
"69","3.53568886067005","106.588235294118","196.588235294118","16.5882352941177","medium","202.68280093013","maps/google_map_1.png","96.0945656360127","objects/1/1_101.jpg","0.0","indoors","Accordion.jpg","old",6,1.94773130398244,292.5,"['return']",54,1,"indoors",1,0.798525095451623,NA,NA,96,9,"m","r",89.81719906987,"CH"
"76","3.81821260148645","106.588235294118","196.588235294118","16.5882352941177","medium","218.878429384573","maps/google_map_1.png","112.290194090456","objects/1/1_132.jpg","0.0","indoors","PanCooking.jpg","old",6,2.31231509498321,51.5,"['return']",54,1,"indoors",1,0.365241592749953,NA,NA,68,9,"m","r",167.378429384573,"CH"
